species	RepeatModeler_superfamily	number_of_copies_300bp	total_nucleotides	number_of_families
Ambystoma_mexicanum	LTR/ERV1	946298	1596031839	63
Ambystoma_mexicanum	LTR/Gypsy	1179342	1915180789	85
Ambystoma_mexicanum	LTR/ERV	89224	102042733	3
Ambystoma_mexicanum	LINE/L1	733100	907907727	68
Ambystoma_mexicanum	LINE/I	8366	5639476	1
Ambystoma_mexicanum	RC/Helitron	218962	431154637	9
Ambystoma_mexicanum	LINE/L2	1572482	1691052911	95
Ambystoma_mexicanum	DNA/hAT-Charlie	63177	25546138	1
Ambystoma_mexicanum	LINE/RTE-X	211314	225894250	13
Ambystoma_mexicanum	LTR/ERVK	4251	2658560	1
Ambystoma_mexicanum	LTR/DIRS	886417	1528060097	55
Ambystoma_mexicanum	LTR/ERVL	35215	49974975	4
Ambystoma_mexicanum	DNA/hAT-Tip100	1675	1639764	1
Ambystoma_mexicanum	DNA/PIF-Harbinger	553832	1041666683	38
Ambystoma_mexicanum	LINE/Penelope	213154	179346909	22
Ambystoma_mexicanum	LINE/RTE-BovB	12239	9823167	1
Ambystoma_mexicanum	LTR/Copia	45681	42695002	7
Ambystoma_mexicanum	DNA/Kolobok-T2	127506	165511699	11
Ambystoma_mexicanum	LINE/CR1	8716	3375972	1
Ambystoma_mexicanum	LTR/Ngaro	36524	40372833	3
Ambystoma_mexicanum	DNA/hAT-Blackjack	4171	1449696	1
Ambystoma_mexicanum	LTR/Foamy	4299	4838196	2
Ambystoma_mexicanum	LINE/Jockey	2549	1512743	1
Ambystoma_mexicanum	DNA/hAT-Ac	12473	7627693	2
Ambystoma_mexicanum	LINE/I-Nimb	4211	5229158	1
Rana_catesbeiana	DNA/TcMar-Tc1	350497	252677661	76
Rana_catesbeiana	DNA/hAT-Charlie	141958	80891370	31
Rana_catesbeiana	DNA/hAT-Blackjack	50	17035	1
Rana_catesbeiana	DNA/hAT-Tip100	98916	62969347	5
Rana_catesbeiana	RC/Helitron	3859	1321350	5
Rana_catesbeiana	LTR/Copia	11970	7079508	9
Rana_catesbeiana	LINE/L1	264096	199487008	126
Rana_catesbeiana	DNA/TcMar-Tc2	8892	4096261	6
