#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Takifugu rubripes	31033	PRJNA1434	1434	Animals	Fishes	391.485	45.8414	GCA_000180615.2	chromosome 1:NC_018890.1/HE602535.1; chromosome 2:NC_018891.1/HE602536.1; chromosome 3:NC_018892.1/HE602537.1; chromosome 4:NC_018893.1/HE602538.1; chromosome 5:NC_018894.1/HE602539.1; chromosome 6:NC_018895.1/HE602540.1; chromosome 7:NC_018896.1/HE602541.1; chromosome 8:NC_018897.1/HE602542.1; chromosome 9:NC_018898.1/HE602543.1; chromosome 10:NC_018899.1/HE602544.1; chromosome 11:NC_018900.1/HE602545.1; chromosome 12:NC_018901.1/HE602546.1; chromosome 13:NC_018902.1/HE602547.1; chromosome 14:NC_018903.1/HE602548.1; chromosome 15:NC_018904.1/HE602549.1; chromosome 16:NC_018905.1/HE602550.1; chromosome 17:NC_018906.1/HE602551.1; chromosome 18:NC_018907.1/HE602552.1; chromosome 19:NC_018908.1/HE602553.1; chromosome 20:NC_018909.1/HE602554.1; chromosome 21:NC_018910.1/HE602555.1; chromosome 22:NC_018911.1/HE602556.1; mitochondrion MT:NC_004299.1/AJ421455.1	CAAB02	7091	23164	31052	2002/08/22	2011/07/12	Chromosome	The Fugu Genome Sequencing Consortium	SAMEA3138310
Xenopus tropicalis	8364	PRJNA12348	12348	Animals	Amphibians	1440.4	40.5404	GCA_000004195.3	chromosome 1:NC_030677.1/CM004443.1; chromosome 2:NC_030678.1/CM004444.1; chromosome 3:NC_030679.1/CM004445.1; chromosome 4:NC_030680.1/CM004446.1; chromosome 5:NC_030681.1/CM004447.1; chromosome 6:NC_030682.1/CM004448.1; chromosome 7:NC_030683.1/CM004449.1; chromosome 8:NC_030684.1/CM004450.1; chromosome 9:NC_030685.1/CM004451.1; chromosome 10:NC_030686.1/CM004452.1; mitochondrion MT:NC_006839.1/AY789013.1	AAMC03	6822	26496	39715	2009/11/13	2016/07/13	Chromosome	DOE Joint Genome Institute	SAMN00000117
Xenopus laevis	8355	PRJNA338693	338693	Animals	Amphibians	2718.43	40.2325	GCA_001663975.1	chromosome 1L:NC_030724.1/CM004466.1; chromosome 1S:NC_030725.1/CM004467.1; chromosome 2L:NC_030726.1/CM004468.1; chromosome 2S:NC_030727.1/CM004469.1; chromosome 3L:NC_030728.1/CM004470.1; chromosome 3S:NC_030729.1/CM004471.1; chromosome 4L:NC_030730.1/CM004472.1; chromosome 4S:NC_030731.1/CM004473.1; chromosome 5L:NC_030732.1/CM004474.1; chromosome 5S:NC_030733.1/CM004475.1; chromosome 6L:NC_030734.1/CM004476.1; chromosome 6S:NC_030735.1/CM004477.1; chromosome 7L:NC_030736.1/CM004478.1; chromosome 7S:NC_030737.1/CM004479.1; chromosome 8L:NC_030738.1/CM004480.1; chromosome 8S:NC_030739.1/CM004481.1; chromosome 9_10L:NC_030740.1/CM004482.1; chromosome 9_10S:NC_030741.1/CM004483.1; mitochondrion MT:NC_001573.1/M10217.1	LYTH01	108033	36776	56817	2016/06/14	2016/09/21	Chromosome	NCBI	SAMN04518361
Meleagris gallopavo	9103	PRJNA42129	42129	Animals	Birds	1128.34	41.7219	GCA_000146605.3	chromosome 1:NC_015011.2/CM000962.2; chromosome 2:NC_015012.2/CM000963.2; chromosome 3:NC_015013.2/CM000964.2; chromosome 4:NC_015014.2/CM000965.2; chromosome 5:NC_015015.2/CM000966.2; chromosome 6:NC_015016.2/CM000967.2; chromosome 7:NC_015017.2/CM000968.2; chromosome 8:NC_015018.2/CM000969.2; chromosome 9:NC_015019.2/CM000970.2; chromosome 10:NC_015020.2/CM000971.2; chromosome 11:NC_015021.2/CM000972.2; chromosome 12:NC_015022.2/CM000973.2; chromosome 13:NC_015023.2/CM000974.2; chromosome 14:NC_015024.2/CM000975.2; chromosome 15:NC_015025.2/CM000976.2; chromosome 16:NC_015026.2/CM000977.2; chromosome 17:NC_015027.2/CM000978.2; chromosome 18:NC_015028.2/CM000979.2; chromosome 19:NC_015029.2/CM000980.2; chromosome 20:NC_015030.2/CM000981.2; chromosome 21:NC_015031.2/CM000982.2; chromosome 22:NC_015032.2/CM000983.2; chromosome 23:NC_015033.2/CM000984.2; chromosome 24:NC_015034.2/CM000985.2; chromosome 25:NC_015035.2/CM000986.2; chromosome 26:NC_015036.2/CM000987.2; chromosome 27:NC_015037.2/CM000988.2; chromosome 28:NC_015038.2/CM000989.2; chromosome 29:NC_015039.2/CM000990.2; chromosome 30:NC_015040.2/CM000991.2; chromosome Z:NC_015041.2/CM000993.2; chromosome W:NC_015042.2/CM000992.2; mitochondrion MT:NC_010195.2/JF275060.1	ADDD02	233806	26366	33329	2010/09/07	2014/11/24	Chromosome	Turkey Genome Consortium	SAMN02981253
Struthio camelus australis	441894	PRJNA263340	263340	Animals	Birds	1225.04	41.3	GCA_000698965.1	mitochondrion MT:NC_002785.1/AF338715.1	JJRT01	6915	16560	25438	2014/05/06	2016/11/17	Scaffold	NCBI	SAMN02316164
Ciconia boyciana	52775	PRJDB4709	327649	Animals	Birds	1364.95	43.6	GCA_002002965.1	-	BDFF01	505419	-	-	2016/07/01	2016/07/01	Scaffold	Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies	SAMD00050841
Gasterosteus aculeatus	69293	PRJNA13579	13579	Animals	Fishes	446.611	44.6	GCA_000180675.1	-	AANH01	16957	-	-	2006/02/01	2014/08/11	Contig	Broad Institute	SAMN02981227
Tetraodon nigroviridis	99883	PRJNA12350	12350	Animals	Fishes	342.403	46.6	GCA_000180735.1	-	CAAE01	25773	27918	27918	2004/05/14	2015/01/30	Scaffold	Genoscope	SAMEA3138311
Ictalurus punctatus	7998	PRJNA327588	327588	Animals	Fishes	783.275	39.8391	GCA_001660625.1	chromosome 1:NC_030416.1/CM004414.1; chromosome 2:NC_030417.1/CM004415.1; chromosome 3:NC_030418.1/CM004416.1; chromosome 4:NC_030419.1/CM004417.1; chromosome 5:NC_030420.1/CM004418.1; chromosome 6:NC_030421.1/CM004419.1; chromosome 7:NC_030422.1/CM004420.1; chromosome 8:NC_030423.1/CM004421.1; chromosome 9:NC_030424.1/CM004422.1; chromosome 10:NC_030425.1/CM004423.1; chromosome 11:NC_030426.1/CM004424.1; chromosome 12:NC_030427.1/CM004425.1; chromosome 13:NC_030428.1/CM004426.1; chromosome 14:NC_030429.1/CM004427.1; chromosome 15:NC_030430.1/CM004428.1; chromosome 16:NC_030431.1/CM004429.1; chromosome 17:NC_030432.1/CM004430.1; chromosome 18:NC_030433.1/CM004431.1; chromosome 19:NC_030434.1/CM004432.1; chromosome 20:NC_030435.1/CM004433.1; chromosome 21:NC_030436.1/CM004434.1; chromosome 22:NC_030437.1/CM004435.1; chromosome 23:NC_030438.1/CM004436.1; chromosome 24:NC_030439.1/CM004437.1; chromosome 25:NC_030440.1/CM004438.1; chromosome 26:NC_030441.1/CM004439.1; chromosome 27:NC_030442.1/CM004440.1; chromosome 28:NC_030443.1/CM004441.1; chromosome 29:NC_030444.1/CM004442.1; mitochondrion MT:NC_003489.1/AF482987.1	LBML01	9975	27156	47978	2016/06/09	2016/06/21	Chromosome	NCBI	SAMN03486842
Monodelphis domestica	13616	PRJNA12561	12561	Animals	Mammals	3598.44	38.1446	GCF_000002295.2	chromosome 1:NC_008801.1/CM000368.1; chromosome 2:NC_008802.1/CM000369.1; chromosome 3:NC_008803.1/CM000370.1; chromosome 4:NC_008804.1/CM000371.1; chromosome 5:NC_008805.1/CM000372.1; chromosome 6:NC_008806.1/CM000373.1; chromosome 7:NC_008807.1/CM000374.1; chromosome 8:NC_008808.1/CM000375.1; chromosome X:NC_008809.1/CM000376.1; mitochondrion MT:NC_006299.1/AJ508398.1	AAFR03	5223	37096	49112	2004/11/08	2014/08/06	Chromosome	The Genome Sequencing Platform, The Genome Assembly Team	SAMN02953611
