query	subject	qStart	qEnd	sStart	sEnd
gi|1154409532|ref|NW_018086322.1|:484431:486051:-	gi|1154405029|ref|NW_018090825.1|:79298:80761:-	1	1452	1	1464
KE994578.1:25716:27606:+	APJL01107785.1:2:2008:+	1	1891	138	2007
gi|925216720|ref|NC_027311.1|:22867651:22868724:+	gi|925216727|ref|NC_027308.1|:77248238:77249654:+	1	1026	89	1083
gi|553006886|ref|NW_005813911.1|:825127:827941:-	gi|553008075|ref|NW_005812926.1|:3841934:3844410:+	400	2750	2418	100
KV751324.1:10031118:10032884:-	KV751333.1:1960603:1962363:+	1	1756	1761	1
gi|924427368|ref|NW_013952492.1|:1602472:1603943:-	gi|924427343|ref|NW_013952517.1|:699786:701375:+	1	1472	1463	1
HG925387.1:437776:440963:+	HG925673.1:267167:268725:-	2	1382	1380	1
NC_035084.1:45679694:45681080:+	NC_035093.1:41665599:41667041:+	198	1387	107	1279
NC_035094.1:23270797:23272374:+	NC_035098.1:23430828:23432470:-	1	1578	1589	1
gi|1019155223|ref|NW_015505524.1|:726540:728064:-	gi|1051343160|ref|NW_016694793.1|:168929068:168930375:-	130	1177	2	1040
CM008011.1:41114259:41115178:-	CM008018.1:107299048:107299791:-	18	732	24	739
gi|1163938633|ref|NW_018114539.1|:792679:794599:-	gi|1163913834|ref|NW_018118044.1|:7517:8967:+	1160	1921	1451	690
LTYT01001721.1:129212:129709:-	LTYT01017491.1:13709:14545:+	26	496	837	379
NC_035103.1:4211901:4213505:-	NC_035082.1:4823427:4825017:+	4	1602	1588	8
ref|NW_019160867.1|:21560689:21561861:-	LGHW01001939.1:173494:174390:+	6	901	886	1
gi|960326536|ref|NW_014804749.1|:120487:125742:-	gi|960326062|ref|NW_014804903.1|:1248446:1254550:-	1	4656	865	5543
gi|557456718|ref|NW_005855253.1|:12308:14815:-	gi|557454711|ref|NW_005857260.1|:292414:295065:+	1	2508	2652	145
gi|1104753155|ref|NW_017613885.1|:5908599:5910230:-	gi|1104753259|ref|NW_017613879.1|:17980162:17981801:-	1	1632	12	1637
gi|960325707|ref|NW_014804993.1|:5776163:5781499:+	gi|960323831|ref|NW_014805556.1|:820971:826260:+	843	5337	1	4527
gi|557503276|ref|NW_005871077.1|:3526543:3528853:-	gi|557501255|ref|NW_005871098.1|:2740901:2746231:-	1	2311	2207	4529
gi|930648071|ref|NW_014014208.1|:592714:594453:+	gi|930648377|ref|NW_014013902.1|:61991:63831:+	1059	1740	1	682
ref|NW_019160945.1|:1342933:1348859:-	ref|NW_019160966.1|:4312403:4318054:-	206	4829	357	4964
gi|1070655695|ref|NW_017306555.1|:1076412:1077122:+	gi|1070654058|ref|NW_017308191.1|:198884:199377:+	262	711	15	464
gi|1154410198|ref|NW_018085656.1|:148024:149633:-	gi|1154410084|ref|NW_018085770.1|:1372513:1374122:+	5	1608	1	1610
gi|1051343077|ref|NW_016694796.1|:72469721:72471019:-	gi|1051343064|ref|NW_016694808.1|:36244139:36245443:+	14	1298	1305	1
gi|1053595375|ref|NW_016806571.1|:2480371:2481964:-	gi|1053493329|ref|NW_016823619.1|:1619613:1621094:-	1	1470	19	1482
gi|1154408914|ref|NW_018086940.1|:1724573:1726109:+	gi|1154405682|ref|NW_018090172.1|:8171:9625:-	387	1526	1293	126
ref|NW_018351404.1|:6033335:6034829:-	ref|NW_018355647.1|:1216274:1216705:-	1064	1495	1	432
gi|924428029|ref|NW_013952438.1|:146547:148161:+	gi|924424561|ref|NW_013954221.1|:5026:6638:+	1	1613	1	1613
NC_019862.2:13397410:13398545:-	NC_019881.2:6016502:6017942:-	1	1136	309	1441
LVKQ01S008589.1:135945:138398:+	LVKQ01S021476.1:117250:118784:+	583	2098	1	1535
gi|1049006347|ref|NW_016683361.1|:60632921:60634542:-	gi|1049006336|ref|NW_016683372.1|:224873:226478:-	3	1620	1	1606
gi|957807213|ref|NW_014639012.1|:194402058:194403448:+	gi|957807208|ref|NW_014639017.1|:76875676:76877113:-	64	1391	1352	20
gi|557456494|ref|NW_005855477.1|:4833934:4835056:-	gi|557440925|ref|NW_005871046.1|:3339798:3340209:+	229	640	412	1
KV751325.1:5306858:5307475:-	gi|1041775141|ref|NW_016097445.1|:582596:583705:-	155	616	3	463
gi|957807199|ref|NW_014639026.1|:1732228:1733359:+	gi|957807214|ref|NW_014639011.1|:190607525:190610174:-	597	1132	2650	2107
gi|616209278|ref|NW_006890079.1|:4037127:4038040:-	gi|616201062|ref|NW_006890095.1|:2726608:2728245:-	1	907	1	890
gi|1104468332|ref|NW_017609497.1|:14995:15659:-	JHEK01276103.1:505:935:+	145	573	431	1
gi|1154409738|ref|NW_018086116.1|:1078248:1079884:+	gi|1154409126|ref|NW_018086728.1|:6402672:6404308:+	1	1637	1	1637
KN462762.1:43819:45268:+	gi|1047493560|ref|NW_016243828.1|:94011:95423:-	1450	1	3	1406
gi|1104753330|ref|NW_017613874.1|:14100109:14103420:+	gi|1104753174|ref|NW_017613884.1|:36311927:36314370:+	882	3312	1	2444
gi|1051343075|ref|NW_016694798.1|:135682244:135683815:-	gi|1051343069|ref|NW_016694803.1|:88582652:88584278:-	1	1569	9	1624
gi|734249800|ref|NW_011359024.1|:1904:2692:-	gi|734230419|ref|NW_011363348.1|:2223:3081:-	15	789	27	807
gi|961434701|ref|NW_015115797.1|:45729:46396:+	gi|1127292361|ref|NW_017805781.1|:35549:36247:-	668	1	6	677
