copy	start	end	protStart	rev
NW_003223986.1:3:597:+	2	595	2	FALSE
gi|1111360171|ref|NW_017713645.1|:21795169:21795814:-	1	645	645	TRUE
gi|555311715|ref|NW_005841862.1|:3041733:3042295:-	1	561	561	TRUE
gi|555311638|ref|NW_005841939.1|:3397466:3398760:-	3	1034	1034	TRUE
gi|555311638|ref|NW_005841939.1|:3397466:3398760:-	1037	1288	1288	TRUE
gi|555311571|ref|NW_005842006.1|:1584848:1585279:+	2	260	2	FALSE
gi|555311571|ref|NW_005842006.1|:1584848:1585279:+	266	431	261	FALSE
gi|555311155|ref|NW_005842422.1|:820872:821302:+	6	431	6	FALSE
gi|555310902|ref|NW_005842675.1|:724566:725069:-	3	500	500	TRUE
NIVO01001241.1:195060:197663:-	7	487	2547	TRUE
NIVO01001241.1:195060:197663:-	1847	2547	2547	TRUE
NIVO01002001.1:979389:981142:+	30	1733	30	FALSE
NIVO01028099.1:269156:271337:+	281	2182	281	FALSE
NIVO01036985.1:862845:865703:-	2	2539	2539	TRUE
NIVO01036985.1:862845:865703:-	2541	2771	2771	TRUE
NIVO01042498.1:809281:811823:-	1	874	876	TRUE
NIVO01042498.1:809281:811823:-	877	2542	2542	TRUE
NIVO01043894.1:210505:213043:-	29	359	436	TRUE
NIVO01043894.1:210505:213043:-	437	1988	1988	TRUE
NIVO01045640.1:239438:241901:+	1	494	1	FALSE
NIVO01045640.1:239438:241901:+	1228	2462	495	FALSE
NIVO01045721.1:58041:61441:-	21	2421	2435	TRUE
NIVO01045721.1:58041:61441:-	2436	3018	3018	TRUE
NIVO01047070.1:11800:13718:+	48	1862	48	FALSE
NIVO01048527.1:786304:787151:-	32	358	358	TRUE
NIVO01048527.1:786304:787151:-	361	846	846	TRUE
NIVO01050532.1:302977:305964:-	34	2988	2988	TRUE
NIVO01055141.1:970589:972949:+	17	2284	17	FALSE
NIVO01056179.1:739539:741670:-	20	1513	1513	TRUE
NIVO01056179.1:739539:741670:-	1516	2022	2022	TRUE
NIVO01056179.1:739539:741670:-	2025	2132	2132	TRUE
NIVO01061355.1:1799391:1801470:-	20	1029	1891	TRUE
NIVO01061355.1:1799391:1801470:-	1892	2013	2013	TRUE
NIVO01069478.1:1483717:1486331:+	114	2468	114	FALSE
NIVO01069478.1:1483717:1486331:+	2492	2608	2492	FALSE
NIVO01077244.1:2481247:2482045:-	29	307	307	TRUE
NIVO01077244.1:2481247:2482045:-	309	464	464	TRUE
NIVO01077244.1:2481247:2482045:-	466	798	798	TRUE
KI304395.1:59097:60123:+	4	755	4	FALSE
KI304395.1:59097:60123:+	760	1025	756	FALSE
KI316436.1:7336:8447:+	2	212	2	FALSE
KI316436.1:7336:8447:+	221	890	213	FALSE
KI320762.1:4582:5720:+	137	469	137	FALSE
KI320762.1:4582:5720:+	472	1107	472	FALSE
LTYT01000743.1:139538:140130:-	80	556	556	TRUE
LTYT01001721.1:129212:129709:-	49	498	498	TRUE
LTYT01001930.1:238626:240260:+	390	1400	390	FALSE
LTYT01002070.1:25921:27491:+	375	1385	375	FALSE
LTYT01002584.1:188550:189123:-	30	410	410	TRUE
LTYT01002596.1:69023:69498:+	70	447	70	FALSE
LTYT01002639.1:110150:110867:+	50	571	50	FALSE
LTYT01002650.1:107969:108809:-	7	427	432	TRUE
LTYT01002650.1:107969:108809:-	433	841	841	TRUE
LTYT01006155.1:23153:24651:-	197	919	919	TRUE
LTYT01011845.1:2572:3329:+	137	616	137	FALSE
LTYT01011845.1:2572:3329:+	643	747	643	FALSE
LTYT01013587.1:20771:21621:-	2	277	277	TRUE
LTYT01013587.1:20771:21621:-	279	812	812	TRUE
LTYT01014967.1:12586:13152:-	30	407	407	TRUE
LTYT01017491.1:13709:14545:+	92	814	92	FALSE
LTYT01022000.1:510:987:-	54	404	404	TRUE
LTYT01026550.1:2404:3024:+	2	613	2	FALSE
gi|313847133|ref|NW_003338793.1|:903824:904984:-	213	314	314	TRUE
gi|313847133|ref|NW_003338793.1|:903824:904984:-	317	1159	1159	TRUE
gi|901929163|ref|NW_013185666.1|:153626:153999:-	3	140	140	TRUE
gi|901929163|ref|NW_013185666.1|:153626:153999:-	142	336	336	TRUE
KL336232.1:25638:26147:+	3	509	3	FALSE
KL339020.1:27014:27503:+	5	412	5	FALSE
gi|698373982|ref|NW_009710807.1|:67332:67996:-	234	638	638	TRUE
gi|698343772|ref|NW_009730153.1|:695:1209:+	46	513	46	FALSE
APJP01604267.1:2445:2802:-	6	356	356	TRUE
gi|924845370|ref|NW_013995860.1|:2564181:2564513:+	2	331	2	FALSE
gi|924845370|ref|NW_013995860.1|:7102260:7102592:-	3	332	332	TRUE
gi|924844937|ref|NW_013996293.1|:7545806:7546138:-	3	332	332	TRUE
gi|924840299|ref|NW_014000931.1|:9890427:9890759:-	3	332	332	TRUE
gi|924838911|ref|NW_014002319.1|:541588:542326:-	4	543	543	TRUE
gi|924835327|ref|NW_014005902.1|:1907043:1907794:+	210	752	210	FALSE
ref|NW_019170544.1|:2665660:2666658:-	228	989	989	TRUE
ref|NW_019170548.1|:136485:138117:+	346	1344	346	FALSE
ref|NW_019170548.1|:2283625:2284579:-	228	938	938	TRUE
ref|NW_019170548.1|:28458485:28459113:-	1	381	381	TRUE
ref|NW_019170548.1|:28458485:28459113:-	389	625	625	TRUE
ref|NW_019170549.1|:6173330:6175155:+	45	1403	45	FALSE
ref|NW_019170549.1|:6173330:6175155:+	1404	1511	1404	FALSE
ref|NW_019170550.1|:47790:49156:+	1	1110	1	FALSE
ref|NW_019170550.1|:36578972:36580573:-	222	1241	1241	TRUE
ref|NW_019170552.1|:15875335:15876992:-	291	1313	1313	TRUE
ref|NW_019170552.1|:30203119:30203969:-	37	453	453	TRUE
ref|NW_019170535.1|:3766012:3767628:-	197	1219	1219	TRUE
ref|NW_019170535.1|:11381802:11382323:-	32	484	484	TRUE
ref|NW_019170535.1|:17565013:17566456:-	63	647	647	TRUE
ref|NW_019170535.1|:17565013:17566456:-	650	1039	1039	TRUE
ref|NW_019170535.1|:26594435:26596072:+	346	1350	346	FALSE
ref|NW_019170555.1|:10632077:10633689:+	382	1386	382	FALSE
ref|NW_019170555.1|:21587590:21589201:-	232	701	720	TRUE
ref|NW_019170555.1|:21587590:21589201:-	721	1250	1250	TRUE
ref|NW_019170556.1|:14447623:14448297:+	31	505	31	FALSE
ref|NW_019170556.1|:14447623:14448297:+	508	601	506	FALSE
ref|NW_019170556.1|:21632262:21632838:-	44	382	382	TRUE
ref|NW_019170557.1|:24229234:24230627:-	433	753	753	TRUE
ref|NW_019170557.1|:24229234:24230627:-	768	1072	1184	TRUE
ref|NW_019170557.1|:24229234:24230627:-	1185	1366	1366	TRUE
ref|NC_035898.1|:16190716:16192324:-	227	1231	1231	TRUE
ref|NW_019170537.1|:8167578:8168119:+	49	447	49	FALSE
ref|NW_019170539.1|:976960:978143:-	27	359	359	TRUE
ref|NW_019170539.1|:976960:978143:-	362	724	724	TRUE
ref|NW_019170539.1|:976960:978143:-	772	1077	1077	TRUE
ref|NW_019170539.1|:9269420:9271922:+	3	2057	3	FALSE
ref|NW_019170539.1|:24863371:24864985:+	387	1391	387	FALSE
ref|NW_019170539.1|:37864372:37865981:+	381	1109	381	FALSE
ref|NW_019170539.1|:37864372:37865981:+	1111	1386	1111	FALSE
ref|NW_019170540.1|:16077944:16079548:-	228	1040	1040	TRUE
ref|NW_019170540.1|:16077944:16079548:-	1063	1224	1224	TRUE
ref|NW_019170541.1|:3849117:3850718:-	224	1243	1243	TRUE
ref|NW_019170542.1|:9613066:9614674:+	381	1385	381	FALSE
ref|NW_019170543.1|:14502676:14504381:+	525	1436	525	FALSE
ref|NW_019170832.1|:90520:92135:-	230	1234	1234	TRUE
ref|NW_019170987.1|:128489:131270:-	363	1210	2636	TRUE
ref|NW_019170987.1|:128489:131270:-	2637	2782	2782	TRUE
ref|NW_019171016.1|:83:1893:-	423	1811	1811	TRUE
ref|NW_019171529.1|:250110:251819:-	301	1287	1287	TRUE
ref|NW_019172035.1|:358927:359410:+	3	395	3	FALSE
ref|NW_019172170.1|:129406:129886:-	60	434	434	TRUE
ref|NW_019172340.1|:338805:340445:-	292	1296	1296	TRUE
ref|NW_019172511.1|:234252:235155:-	13	504	504	TRUE
ref|NW_019172612.1|:59984:60694:-	87	554	554	TRUE
ref|NW_019172612.1|:59984:60694:-	562	711	711	TRUE
ref|NW_019172702.1|:303803:305131:-	236	1219	1219	TRUE
ref|NW_019172850.1|:2945129:2946016:-	206	871	871	TRUE
ref|NW_019172894.1|:481277:483278:+	6	388	6	FALSE
ref|NW_019172894.1|:481277:483278:+	390	1183	389	FALSE
ref|NW_019172894.1|:481277:483278:+	1186	1986	1186	FALSE
ref|NW_019172898.1|:352623:353141:+	53	496	53	FALSE
ref|NW_019172906.1|:843188:843585:+	28	369	28	FALSE
ref|NW_019172910.1|:339352:340025:+	7	504	7	FALSE
ref|NW_019172925.1|:6159076:6160641:+	334	1338	334	FALSE
ref|NW_019172945.1|:2224066:2224886:+	2	808	2	FALSE
gi|924428065|ref|NW_013952402.1|:10519397:10520351:+	14	94	14	FALSE
gi|924428065|ref|NW_013952402.1|:10519397:10520351:+	96	482	96	FALSE
gi|924428065|ref|NW_013952402.1|:10519397:10520351:+	493	801	493	FALSE
gi|924428064|ref|NW_013952403.1|:4213050:4214662:+	374	1390	374	FALSE
gi|924428057|ref|NW_013952410.1|:5845380:5846149:+	3	743	3	FALSE
gi|924428047|ref|NW_013952420.1|:1670719:1671294:+	1	257	1	FALSE
gi|924428047|ref|NW_013952420.1|:1670719:1671294:+	259	575	258	FALSE
gi|924428047|ref|NW_013952420.1|:1900904:1902517:+	322	1323	322	FALSE
gi|924428046|ref|NW_013952421.1|:438740:440326:-	220	1230	1230	TRUE
gi|924428046|ref|NW_013952421.1|:899526:901140:+	374	1390	374	FALSE
gi|924428045|ref|NW_013952422.1|:2119959:2120989:-	1	675	675	TRUE
gi|924428032|ref|NW_013952435.1|:1289017:1290244:-	38	1075	1075	TRUE
gi|924428030|ref|NW_013952437.1|:286157:287254:-	2	742	742	TRUE
gi|924428029|ref|NW_013952438.1|:146547:148161:+	374	1390	374	FALSE
gi|924428024|ref|NW_013952443.1|:537773:538986:-	40	1077	1077	TRUE
gi|924428023|ref|NW_013952444.1|:1507348:1508251:+	155	856	155	FALSE
gi|924428021|ref|NW_013952446.1|:1417190:1418803:+	373	1389	373	FALSE
gi|924428021|ref|NW_013952446.1|:1946399:1948004:+	357	1031	357	FALSE
gi|924428021|ref|NW_013952446.1|:1946399:1948004:+	1033	1383	1033	FALSE
gi|924427397|ref|NW_013952463.1|:387596:388823:-	38	1075	1075	TRUE
gi|924427390|ref|NW_013952470.1|:2158706:2159493:+	4	771	4	FALSE
gi|924427381|ref|NW_013952479.1|:752598:754198:-	224	1243	1243	TRUE
gi|924427377|ref|NW_013952483.1|:1485657:1487257:+	360	1379	360	FALSE
gi|924427373|ref|NW_013952487.1|:1470192:1471788:+	352	1374	352	FALSE
gi|924427368|ref|NW_013952492.1|:1602472:1603943:-	96	1016	1016	TRUE
gi|924427349|ref|NW_013952511.1|:1021391:1022294:+	156	857	156	FALSE
gi|924427343|ref|NW_013952517.1|:699786:701375:+	350	1354	350	FALSE
gi|924427340|ref|NW_013952520.1|:694920:695878:+	1	957	1	FALSE
gi|924427317|ref|NW_013952543.1|:1057861:1059090:+	152	1189	152	FALSE
gi|924427307|ref|NW_013952553.1|:281864:283461:+	357	1379	357	FALSE
gi|924427285|ref|NW_013952575.1|:22707:23932:+	151	1188	151	FALSE
gi|924427273|ref|NW_013952579.1|:221103:221567:+	3	236	3	FALSE
gi|924427273|ref|NW_013952579.1|:221103:221567:+	239	457	239	FALSE
gi|924427255|ref|NW_013952585.1|:940109:941008:+	152	853	152	FALSE
gi|924427246|ref|NW_013952588.1|:355653:357265:+	374	1390	374	FALSE
gi|924427214|ref|NW_013952620.1|:535153:536752:+	356	1378	356	FALSE
gi|924427194|ref|NW_013952640.1|:671817:672983:-	35	1165	1165	TRUE
gi|924427190|ref|NW_013952644.1|:208394:210276:-	20	945	1609	TRUE
gi|924427190|ref|NW_013952644.1|:208394:210276:-	1690	1883	1883	TRUE
gi|924427187|ref|NW_013952647.1|:485531:487127:+	360	1271	360	FALSE
gi|924427127|ref|NW_013952707.1|:542313:543926:+	374	1390	374	FALSE
gi|924427092|ref|NW_013952742.1|:653559:654980:-	447	1313	1313	TRUE
gi|924427073|ref|NW_013952761.1|:479856:481094:-	377	1084	1084	TRUE
gi|924427021|ref|NW_013952813.1|:63458:64476:+	2	1009	2	FALSE
gi|924426954|ref|NW_013952836.1|:305323:305788:-	3	407	407	TRUE
gi|924426939|ref|NW_013952851.1|:56653:57483:+	1	831	1	FALSE
gi|924426929|ref|NW_013952861.1|:167645:168481:-	68	835	835	TRUE
gi|924426886|ref|NW_013952904.1|:353385:354545:-	29	1159	1159	TRUE
