assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000148955.1	PRJNA12880	SAMN02981275	AEFG00000000.1	na	7757	7757	Petromyzon marinus		animal number 11	latest	Scaffold	Major	Full	07/10/2010	Petromyzon_marinus-7.0	Washington University (WashU)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/955/GCA_000148955.1_Petromyzon_marinus-7.0		
GCA_002833325.1	PRJNA357048	SAMN06131802	PIZI00000000.1	representative genome	7757	7757	Petromyzon marinus	ecotype=Ocean Run	W1	latest	Scaffold	Major	Full	11/12/2017	Pmar_germline 1.0	University of Kentucky	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/833/325/GCA_002833325.1_Pmar_germline_1.0		
GCA_900186335.2	PRJEB21290	SAMEA104124530	FYBX00000000.2	representative genome	7764	7764	Eptatretus burgeri			latest	Scaffold	Major	Full	24/10/2017	Eburgeri_3.2	RIKEN CENTER FOR DEVELOPMENTAL BIOLOGY	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/186/335/GCA_900186335.2_Eburgeri_3.2		
GCA_000238235.1	PRJNA60893	SAMN00189066	AESE000000000.1	representative genome	7782	7782	Leucoraja erinacea			latest	Contig	Major	Full	15/12/2011	LER_WGS_1	North East Cyberinfrastructure Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/235/GCA_000238235.1_LER_WGS_1		
GCA_000165045.2	PRJNA18361	SAMN00000800	AAVX00000000.2	representative genome	7868	7868	Callorhinchus milii		IMCB2004	latest	Scaffold	Major	Full	11/12/2013	Callorhinchus_milii-6.1.3	Institute of Molecular and Cell Biology, Singapore	GCF_000165045.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/045/GCA_000165045.2_Callorhinchus_milii-6.1.3		
GCA_000225785.1	PRJNA56111	SAMN00138723	AFYH00000000.1	representative genome	7897	7897	Latimeria chalumnae		SAIAB 97564	latest	Scaffold	Major	Full	12/09/2011	LatCha1	Broad Institute	GCF_000225785.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/785/GCA_000225785.1_LatCha1		
GCA_000325985.2	PRJDB500	SAMD00041835	BAHO00000000.1	na	7897	7897	Latimeria chalumnae		TCC041-004	latest	Scaffold	Major	Full	21/09/2012	LatCha_J1.0	Tokyo Institute of Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/985/GCA_000325985.2_LatCha_J1.0		
GCA_000242695.1	PRJNA68247	SAMN00706774	AHAT00000000.1	representative genome	7918	7918	Lepisosteus oculatus		Spotted Gar 1	latest	Chromosome	Major	Full	13/01/2012	LepOcu1	Broad Institute	GCF_000242695.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/695/GCA_000242695.1_LepOcu1		
GCA_000695075.1	PRJNA73577	SAMN02777865	AZBK00000000.1	representative genome	7936	7936	Anguilla anguilla			latest	Scaffold	Major	Full	20/05/2014	Anguilla_anguilla_v1_09_nov_10	ZF-screens B.V.	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/075/GCA_000695075.1_Anguilla_anguilla_v1_09_nov_10		
GCA_000470695.1	PRJNA158309	SAMN03004389	AVPY00000000.1	na	7937	7937	Anguilla japonica			latest	Scaffold	Major	Full	18/03/2014	japanese_eel_genome_v1_25_oct_2011_japonica_c401b400k25m200_sspacepremiumk3a02n24_extra.final.scaffolds	ZF-screens B.V.	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/695/GCA_000470695.1_japanese_eel_genome_v1_25_oct_2011_japonica_c401b400k25m200_sspacepremiumk3a02n24_extra.final.scaffolds		
GCA_002723815.1	PRJDB5760	SAMD00080929	BDQN00000000.1	representative genome	7937	7937	Anguilla japonica		13eel01	latest	Scaffold	Major	Full	25/10/2017	Ajaponica_ver_D2	Tohoku National Fisheries Research Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/815/GCA_002723815.1_Ajaponica_ver_D2		
GCA_002933695.1	PRJDB6542	SAMD00106409	BEYV00000000.1	na	7937	7937	Anguilla japonica			latest	Contig	Major	Full	03/02/2018	Anguilla_japonica_LG1_1.0	National Research Institute of Fisheries Science	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/933/695/GCA_002933695.1_Anguilla_japonica_LG1_1.0		
GCA_001606085.1	PRJNA285069	SAMN03737505	LTYT00000000.1	representative genome	7938	7938	Anguilla rostrata		LakeOntario-01-2011	latest	Scaffold	Major	Full	04/04/2016	ASM160608v1	Universite Laval	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/085/GCA_001606085.1_ASM160608v1		
GCA_000966335.1	PRJNA265919	SAMN03154066	JZKK00000000.1	representative genome	7950	7950	Clupea harengus			latest	Scaffold	Major	Full	30/03/2015	ASM96633v1	BGI	GCF_000966335.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/335/GCA_000966335.1_ASM96633v1		
GCA_000002035.4	PRJNA11776	SAMN06930106		reference genome	7955	7955	Danio rerio			latest	Chromosome	Major	Full	09/05/2017	GRCz11	Genome Reference Consortium	GCF_000002035.6	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11		
GCA_000767325.1	PRJNA11776	SAMEA3146315	CABZ00000000.1	na	7955	7955	Danio rerio	strain=Tuebingen		latest	Scaffold	Major	Full	24/05/2010	WGS31	Wellcome Trust Sanger Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/325/GCA_000767325.1_WGS31		
GCA_001483285.1	PRJNA292113	SAMN03964926	LKPD00000000.1	na	7955	7955	Danio rerio	strain=CG2		latest	Scaffold	Major	Full	29/12/2015	CG2v1.0	University of Chicago	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/285/GCA_001483285.1_CG2v1.0		
GCA_001487895.1	PRJEB11588	SAMEA3642453	CZQB00000000.1	na	7955	7955	Danio rerio	strain=Tuebingen		latest	Scaffold	Major	Full	23/12/2015	Zebrafish Genome Assembly WGS32	SC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/487/895/GCA_001487895.1_Zebrafish_Genome_Assembly_WGS32		
GCA_000951615.2	PRJEB7241	SAMEA2757102		representative genome	7962	7962	Cyprinus carpio			latest	Chromosome	Major	Full	03/11/2014	common carp genome	CHINESE ACADEMY OF FISHERY SCIENCE	GCF_000951615.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/615/GCA_000951615.2_common_carp_genome		
GCA_001270105.1	PRJNA73579	SAMN03856486	LHQP00000000.1	na	7962	7962	Cyprinus carpio		UL-001	latest	Scaffold	Major	Full	18/08/2015	ASM127010v1	ZF-screens B.V.	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/105/GCA_001270105.1_ASM127010v1		
GCA_000372685.2	PRJNA89115	SAMN02981523	APWO00000000.2	representative genome	7994	7994	Astyanax mexicanus			latest	Chromosome	Major	Full	25/09/2017	Astyanax_mexicanus-2.0	Washington University School of Medince	GCF_000372685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/685/GCA_000372685.2_Astyanax_mexicanus-2.0		
GCA_001660625.1	PRJNA281269	SAMN03486842	LBML00000000.1	representative genome	7998	7998	Ictalurus punctatus	breed=USDA103		latest	Chromosome	Major	Full	21/06/2016	IpCoco_1.2	Auburn University	GCF_001660625.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/625/GCA_001660625.1_IpCoco_1.2		
GCA_000721915.3	PRJNA221548	SAMN02439989	AZJR00000000.3	representative genome	8010	8010	Esox lucius		CL-BC-CA-002	latest	Chromosome	Major	Full	18/01/2017	Eluc_V3	Ben F Koop, Jong S Leong	GCF_000721915.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/915/GCA_000721915.3_Eluc_V3		
GCA_002021735.1	PRJNA352719	SAMN05991263	MPKV00000000.1	representative genome	8019	8019	Oncorhynchus kisutch		150728-3	latest	Chromosome	Major	Full	06/03/2017	Okis_V1	University of Victoria	GCF_002021735.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/021/735/GCA_002021735.1_Okis_V1		
GCA_002163495.1	PRJNA335610	SAMN05449231	MSJN00000000.1	representative genome	8022	8022	Oncorhynchus mykiss		Swanson	latest	Chromosome	Major	Full	02/06/2017	Omyk_1.0	USDA/ARS	GCF_002163495.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/495/GCA_002163495.1_Omyk_1.0		
GCA_900005705.1	PRJEB4421	SAMEA3146328	CCAF000000000.1	na	8022	8022	Oncorhynchus mykiss			latest	Chromosome	Major	Full	29/04/2014	AUL_PRJEB4421_v1	Genoscope CEA	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/005/705/GCA_900005705.1_AUL_PRJEB4421_v1		
