Organism	TaxID	BioProject Accession	BioProject ID	Assembly Accession	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Takifugu rubripes	31033	PRJNA1434	1434	GCA_000180615.2	CAAB02	7091	23164	31052	22/08/2002	12/07/2011	Chromosome	The Fugu Genome Sequencing Consortium	SAMEA3138310
Xenopus tropicalis	8364	PRJNA12348	12348	GCA_000004195.3	AAMC03	6822	26496	39715	13/11/2009	13/07/2016	Chromosome	DOE Joint Genome Institute	SAMN00000117
Xenopus laevis	8355	PRJNA338693	338693	GCA_001663975.1	LYTH01	108033	36776	56817	14/06/2016	21/09/2016	Chromosome	NCBI	SAMN04518361
Meleagris gallopavo	9103	PRJNA42129	42129	GCA_000146605.3	ADDD02	233806	26366	33329	07/09/2010	24/11/2014	Chromosome	Turkey Genome Consortium	SAMN02981253
Struthio camelus australis	441894	PRJNA263340	263340	GCA_000698965.1	JJRT01	6915	16560	25438	06/05/2014	17/11/2016	Scaffold	NCBI	SAMN02316164
Ciconia boyciana	52775	PRJDB4709	327649	GCA_002002965.1	BDFF01	505419	-	-	01/07/2016	01/07/2016	Scaffold	Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies	SAMD00050841
Gasterosteus aculeatus	69293	PRJNA13579	13579	GCA_000180675.1	AANH01	16957	-	-	01/02/2006	11/08/2014	Contig	Broad Institute	SAMN02981227
Tetraodon nigroviridis	99883	PRJNA12350	12350	GCA_000180735.1	CAAE01	25773	27918	27918	14/05/2004	30/01/2015	Scaffold	Genoscope	SAMEA3138311
Ictalurus punctatus	7998	PRJNA327588	327588	GCA_001660625.1	LBML01	9975	27156	47978	09/06/2016	21/06/2016	Chromosome	NCBI	SAMN03486842
Monodelphis domestica	13616	PRJNA12561	12561	GCF_000002295.2	AAFR03	5223	37096	49112	08/11/2004	06/08/2014	Chromosome	The Genome Sequencing Platform, The Genome Assembly Team	SAMN02953611
Loxodonta africana	9785	PRJNA12569	12569	GCA_000001905.1	AAGU03	2352	25649	29784	18/05/2005	06/08/2014	Scaffold	Broad Institute	SAMN02953622
Notamacropus eugenii	9315	PRJNA12587	12587	GCA_000004035.1	ABQO01	277711	-	-	26/11/2008	26/08/2014	Scaffold	Tammar Wallaby Genome Sequencing Consortium	-
Echinops telfairi	9371	PRJNA12590	12590	GCA_000313985.1	AAIY02	8402	25811	22926	16/08/2005	06/11/2013	Scaffold	Broad Institute	SAMN00216137
Dasypus novemcinctus	9361	PRJNA196486	196486	GCA_000208655.2	AAGV03	46559	34097	38202	14/05/2005	06/08/2014	Scaffold	NCBI	SAMN02953623
Cavia porcellus	10141	PRJNA12583	12583	GCA_000151735.1	AAKN02	3144	27805	37720	04/11/2005	11/08/2014	Scaffold	The Genome Sequencing Platform, The Genome Assembly Team	SAMN02981223
Sorex araneus	42254	PRJNA13689	13689	GCA_000181275.2	AALT02	12845	21961	23427	05/11/2005	01/11/2013	Scaffold	Broad Institute	SAMN00210854
Oryctolagus cuniculus	9986	PRJNA12819	12819	GCA_000003625.1	AAGW02	3318	29098	38463	13/05/2005	06/08/2014	Chromosome	The Genome Sequencing Platform, The Assembly Computation and Development Core Team	SAMN02953624
Salmo salar	8030	PRJNA287919	287919	GCA_000233375.4	AGKD04	241573	59213	97738	25/10/2011	11/06/2015	Chromosome	NCBI	SAMN02749551
Papio anubis	9555	PRJNA54005	54005	GCA_000264685.2	AHZZ02	71135	35218	66659	30/05/2012	20/04/2017	Chromosome	Baylor College of Medicine	SAMN02981400
Otolemur garnettii	30611	PRJNA16955	16955	GCA_000181295.3	AAQR03	7793	25777	26925	02/06/2006	11/08/2014	Scaffold	Broad Institute	SAMN02981229
Tupaia belangeri	37347	PRJNA13971	13971	GCA_000181375.1	AAPY01	841006	-	-	08/06/2006	26/08/2014	Contig	Broad Institute	SAMN03004381
Nomascus leucogenys	61853	PRJNA13975	13975	GCA_000146795.3	ADFV01	17524	28462	38654	31/08/2010	05/09/2014	Chromosome	Gibbon Genome Sequencing Consortium	SAMN02981257
Myotis lucifugus	59463	PRJNA16951	16951	GCA_000147115.1	AAPE02	11654	29200	41184	01/06/2006	06/08/2014	Scaffold	Broad Institute	SAMN02953645
Callorhinchus milii	7868	PRJNA18361	18361	GCA_000165045.2	AAVX02	21204	33094	28237	05/01/2007	20/12/2013	Scaffold	Institute of Molecular and Cell Biology, Singapore	SAMN00000800
Anolis carolinensis	28377	PRJNA18787	18787	GCA_000090745.2	AAWZ02	6646	22092	34827	15/02/2007	11/08/2014	Chromosome	Broad Institute	SAMN02981230
